,Neighborhood,crime10,crime11,crime12,crime13,crime14,viol10,viol11,viol12,viol13,viol14,prop11,prop12,prop13,prop14,juvarr11,juvviol11,juvdrug11,domvio10,domvio11,domvio12,shoot11,caslt11,caslt12,narc11,narc12,caracc11,caracc12,gunhom11,gunhom12,gunhom13,arrest14,empl13,unempl13,nilf13,unempr13,lesshs13,hsdipl13,somecol13,wrkout10,wrkout11,comprop10,comprop11,comprop12,comprop13,crehab10,crehab11,crehab12,crehab13,banks11,banks12,banks13,numbus10,numbus11,numbus12,numbus13,totemp10,totemp11,totemp12,totemp13,smlbus10,smlbus11,smlbus12,smlbus13,biz1_10,biz1_11,biz1_12,biz1_13,biz2_10,biz2_11,biz2_12,biz2_13,biz4_10,biz4_11,biz4_12,biz4_13,neiind10,neiind11,neiind12,neiind13,neibus10,neibus11,neibus12,neibus13,neiemp10,neiemp11,neiemp12,neiemp13,prbprl12
10,Cross-Country/Cheswolde,15.4,15.3,14.7,17.5,14.6,1.8,1.2,1.2,1.0,0.5,14.0,13.5,16.1,14.0,13.8,1.4,0.0,22.6,19.4,20.6,0.0,12.2,12.5,1.6,1.0,9.6,10.5,0.0,0.0,0.0,1.4,70.6,6.4,23.0,8.3,4.7,40.0,55.3,59.6,53.8,24,24,24,24,20.8,16.7,16.7,4.2,0.0,0.0,0.0,209,193,207,269,1088,979,1151,1231,207,191,204,260,3.3,9.3,5.8,2.6,22.0,13.0,19.3,19.7,40.7,38.9,38.2,45.7,138,124,132,178,10.6,9.5,10.1,13.7,563,517,612,700,0.8
11,Dickeyville/Franklintown,49.5,42.2,38.0,38.0,29.3,7.1,6.1,8.5,7.8,7.8,36.1,29.5,29.7,21.2,29.5,6.8,11.3,55.4,57.5,45.4,1.0,67.5,57.5,19.3,45.6,51.0,44.9,0.0,0.5,0.0,28.6,64.1,7.3,28.6,10.3,13.6,66.3,20.1,58.1,54.7,29,30,30,30,3.4,16.7,46.7,13.3,0.0,0.0,0.0,32,39,32,55,258,310,212,282,31,37,31,53,3.1,5.1,9.4,3.6,15.6,12.8,18.8,21.8,37.5,35.9,28.1,34.5,18,17,14,36,4.4,4.1,3.4,8.8,135,91,82,168,4.4
12,Dorchester/Ashburton,52.4,50.7,48.7,55.1,56.4,15.4,16.4,13.5,14.5,12.6,34.3,35.2,38.8,42.8,56.3,11.8,14.3,51.6,49.0,52.0,2.3,82.7,84.3,82.8,101.7,45.8,37.1,0.3,0.3,0.1,28.3,55.2,14.0,30.8,20.3,17.0,66.3,16.7,53.8,62.2,116,116,117,117,7.8,6.0,6.0,11.1,0.0,0.0,0.0,173,177,184,211,1438,1173,1430,1434,166,172,177,200,12.1,10.7,12.0,8.1,23.7,20.9,23.9,26.1,37.6,32.8,39.7,45.0,136,137,141,151,11.5,11.6,12.0,12.8,727,564,822,789,5.2
13,Downtown/Seton Hill,424.4,417.4,331.4,292.0,243.3,97.9,94.1,64.8,67.8,58.8,323.3,266.5,220.9,180.0,1005.6,355.6,227.8,91.9,102.2,81.3,12.0,599.1,467.9,389.8,378.2,550.2,429.3,0.5,0.2,0.2,241.5,64.0,3.1,32.9,4.6,8.8,27.4,63.8,40.90000000000001,39.5,1260,1240,1240,1242,23.3,26.6,25.2,22.8,5.6,3.6,3.6,2985,2730,2923,3353,85143,86930,85752,83488,2818,2594,2705,3146,7.3,8.5,6.6,4.8,19.2,14.3,17.9,25.0,35.9,31.1,31.5,38.7,2210,2041,2176,2573,456.2,421.3,337.6,396.5,58327,53390,62369,55415,2.2
14,Edmondson Village,28.5,40.5,43.8,36.8,38.9,8.2,10.1,11.1,8.9,8.6,30.4,32.7,27.5,29.7,58.7,7.8,29.9,43.4,43.2,44.3,2.0,60.6,62.9,82.2,65.4,28.7,33.9,0.5,0.3,0.4,25.3,58.0,17.0,25.0,22.7,20.5,71.0,8.5,59.3,58.0,32,32,32,32,6.3,6.3,28.1,12.5,0.0,0.0,0.0,55,58,65,65,501,380,394,411,53,57,64,62,7.3,10.3,7.7,4.6,16.4,17.2,24.6,23.1,27.3,32.8,36.9,36.9,42,41,49,47,5.3,5.2,6.2,5.9,307,200,225,218,6.9
15,Fells Point,62.3,87.8,91.0,78.2,71.0,13.5,17.5,17.5,15.4,13.5,70.4,73.6,61.7,57.0,27.5,3.9,3.9,40.5,39.9,48.7,0.6,74.8,81.0,13.5,13.6,49.9,50.6,0.0,0.0,0.2,23.5,80.8,4.3,14.8,5.1,11.0,25.6,63.4,47.4,43.1,526,527,528,525,9.9,13.1,20.3,11.8,0.6,0.6,0.6,491,462,514,528,5649,5572,5929,5566,474,445,495,505,8.4,7.6,7.4,5.9,20.6,12.1,19.1,23.5,34.6,30.5,31.7,39.6,362,346,376,384,40.0,38.3,41.6,42.5,4801,4742,5020,4643,1.1
16,Forest Park/Walbrook,48.7,45.3,46.8,51.4,50.0,10.4,11.8,11.8,13.1,11.8,33.5,35.0,37.6,37.8,27.4,4.7,5.7,51.4,51.1,56.7,3.5,74.1,88.2,91.1,63.0,31.6,32.3,0.6,0.8,0.3,24.8,57.7,9.5,32.9,14.2,19.0,63.5,17.6,56.0,60.5,53,52,52,52,20.8,3.8,7.7,5.8,0.0,0.0,0.0,146,142,142,163,767,691,652,631,144,141,142,160,13.7,12.0,7.7,9.2,26.0,23.9,24.6,23.3,39.7,43.0,41.5,47.2,114,108,110,119,11.6,11.0,11.2,12.1,549,456,483,475,6.5
17,Glen-Fallstaff,53.6,51.6,55.0,58.3,51.8,11.7,11.4,13.3,12.2,11.3,40.2,41.6,44.9,39.8,41.4,4.8,8.3,47.2,49.3,47.7,0.5,70.7,70.5,54.0,48.9,72.6,72.1,0.1,0.0,0.2,22.4,65.0,10.4,24.6,13.7,19.8,55.0,25.2,56.3,42.0,333,332,332,332,7.5,13.6,7.5,8.1,0.3,0.3,0.2,711,672,704,760,8523,6052,8028,8267,683,646,656,724,8.0,6.3,7.5,4.6,21.0,14.6,15.5,18.7,33.8,32.6,31.4,34.7,484,451,460,498,32.5,30.2,30.8,33.4,3688,3542,3526,3707,3.3
18,Greater Charles Village/Barclay,74.3,67.3,69.2,70.1,68.8,17.1,15.2,16.2,14.9,16.7,52.1,53.0,54.1,51.6,324.0,98.0,46.0,43.3,41.3,47.0,1.7,76.4,84.8,59.7,59.2,53.9,51.6,0.2,0.3,0.3,34.9,50.5,6.3,43.2,11.1,13.7,42.5,43.8,49.2,58.0,630,626,614,615,18.9,17.7,20.7,18.0,0.2,0.2,0.2,884,842,896,995,10955,7377,7585,7764,862,823,870,959,10.2,10.0,9.8,5.5,21.9,18.5,22.2,23.0,40.0,36.5,36.7,39.9,668,652,669,741,40.8,39.8,40.8,45.2,8545,4879,5182,5390,2.7
19,Greater Govans,42.2,38.2,44.4,40.0,39.9,12.1,9.2,11.2,9.8,9.0,29.0,33.1,29.8,30.6,39.8,13.9,13.9,45.0,42.6,45.6,2.4,66.9,70.7,51.5,78.3,34.1,28.6,0.2,0.3,0.2,58.7,60.4,8.3,31.3,12.1,20.6,63.1,16.3,52.40000000000001,49.0,122,121,120,120,4.1,3.3,10.0,4.2,0.0,0.0,0.0,149,153,156,186,989,921,983,1051,146,151,153,177,7.4,9.2,5.1,7.0,26.8,15.7,17.9,28.5,38.3,36.6,37.8,46.2,107,109,112,122,10.0,10.2,10.5,11.4,535,551,561,577,6.4
20,Greater Mondawmin,112.4,107.1,98.6,93.9,102.9,24.8,22.0,27.6,25.3,27.4,85.1,71.0,67.5,74.2,144.4,22.0,38.7,62.5,65.5,60.5,3.0,132.5,129.5,169.9,168.1,108.3,94.9,0.2,0.4,1.0,84.4,48.7,14.4,36.9,22.8,19.9,65.5,14.6,52.0,47.0,147,147,147,147,19.0,20.4,15.0,26.5,0.2,0.4,0.4,225,262,281,298,4279,3732,3349,3354,209,245,263,279,8.4,11.1,11.4,5.0,16.4,19.5,25.3,22.1,31.1,32.1,36.3,43.3,152,185,203,209,16.3,19.8,21.8,22.4,2323,1798,1865,2013,7.0
21,Greater Roland Park/Poplar Hill,32.1,28.6,29.4,30.8,28.2,2.0,3.7,2.0,2.3,2.2,24.9,27.4,28.3,26.0,21.6,9.3,3.1,32.5,29.0,28.5,0.1,15.6,14.5,1.6,1.9,69.3,29.0,0.0,0.0,0.0,3.3,77.1,2.8,20.1,3.5,1.2,19.6,79.2,44.8,37.3,116,116,116,115,26.7,12.9,16.4,9.6,0.7,0.5,0.7,350,356,395,425,3412,3710,3812,3809,334,339,372,405,5.7,5.3,8.9,2.1,17.4,6.7,16.7,17.4,30.9,23.6,28.1,31.8,265,275,293,320,35.9,37.3,39.7,43.1,2323,2540,2544,2539,0.8
22,Greater Rosemont,63.5,66.4,60.0,63.2,63.0,19.5,19.0,16.9,19.5,18.5,47.4,43.1,42.9,43.4,107.9,21.6,36.7,64.3,62.6,56.9,4.2,114.8,114.5,148.0,168.6,37.7,39.2,0.4,0.6,0.6,56.8,48.6,15.5,36.0,24.1,28.3,63.9,7.9,51.6,51.5,301,300,304,306,6.6,7.0,6.6,5.6,0.1,0.1,0.1,311,284,316,329,2005,2354,2488,2289,303,273,304,312,9.3,9.5,10.1,8.2,21.5,18.3,23.7,22.2,37.3,35.2,38.3,41.6,232,213,226,238,12.0,11.1,11.7,12.4,1016,1119,1164,1013,8.8
23,Greenmount East,57.4,67.4,87.5,79.7,66.5,19.7,22.7,26.1,27.0,19.6,44.7,61.3,51.7,46.2,116.6,7.2,66.0,50.0,63.1,70.9,5.9,133.1,156.4,222.5,217.1,80.9,91.6,0.5,1.3,1.0,81.9,46.1,15.7,38.2,25.6,24.6,69.7,5.7,47.5,52.8,193,193,193,193,1.6,3.1,4.7,4.1,0.0,0.0,0.0,178,165,182,175,1173,1097,1145,1130,172,160,176,168,10.1,9.1,12.1,3.4,21.3,14.5,23.1,17.7,30.9,29.1,33.5,29.7,137,136,138,138,14.5,14.4,16.9,16.9,730,679,673,682,11.1
24,Hamilton,40.8,45.4,42.1,47.2,50.1,9.5,7.5,7.2,9.6,9.5,37.9,34.9,36.3,39.9,28.0,4.7,3.3,42.5,43.8,46.5,0.5,10.5,50.1,35.1,32.7,42.1,35.8,0.1,0.2,0.1,14.8,74.8,7.1,18.1,8.7,12.4,60.3,27.3,56.0,59.5,195,195,193,193,7.2,11.3,4.1,5.2,0.1,0.2,0.2,263,241,265,296,2149,1862,1807,1950,254,233,258,286,6.1,5.4,8.3,5.7,20.2,8.7,17.4,22.6,34.6,27.8,29.1,35.5,184,169,184,208,14.2,13.0,14.2,16.0,1395,1277,1185,1197,3.6
25,Harbor East/Little Italy,119.3,165.3,139.3,155.5,159.4,28.5,24.0,27.2,32.2,28.1,141.3,112.1,119.5,129.5,116.9,49.8,17.3,74.9,75.5,67.0,2.2,149.4,139.3,38.7,42.0,93.0,117.3,0.0,0.2,0.4,90.7,59.3,11.1,29.7,15.8,27.0,41.5,31.5,41.90000000000001,43.9,489,484,479,478,14.5,12.6,10.2,11.5,0.7,0.7,0.7,408,389,419,513,41601,45289,42537,43434,390,368,388,474,10.3,8.7,8.6,6.8,23.5,15.4,20.0,21.8,39.5,33.7,32.9,40.9,260,260,271,336,48.1,48.1,50.1,62.0,6367,10134,7337,7776,8.5
26,Harford/Echodale,41.5,49.3,41.5,45.6,44.2,10.7,11.9,7.3,9.6,8.8,37.4,34.1,35.2,34.6,47.2,10.1,9.4,44.1,49.2,46.9,1.1,43.6,55.1,29.0,23.0,28.1,28.0,0.2,0.1,0.2,25.7,72.1,7.3,20.6,9.2,10.5,66.0,23.5,60.3,56.5,191,190,188,188,6.8,14.2,12.8,11.2,0.2,0.1,0.1,278,316,285,358,2549,2536,2549,3000,269,308,275,338,4.7,9.5,9.1,5.3,12.9,15.5,20.0,23.2,25.9,27.5,29.1,39.9,185,216,186,229,11.0,12.8,11.0,13.6,1236,1204,1108,1327,3.8
27,Highlandtown,77.5,71.4,76.1,96.1,88.8,20.7,16.6,20.8,21.1,20.8,54.9,55.3,74.3,67.0,70.3,15.3,24.5,46.2,52.8,56.6,0.3,98.9,105.7,59.9,78.2,50.9,50.9,0.0,0.3,0.1,66.6,77.4,3.6,19.0,4.5,23.1,38.2,38.6,54.7,51.5,374,371,373,372,9.4,11.6,11.5,7.5,1.0,0.7,0.7,386,369,409,416,2803,2528,2728,2813,375,358,395,401,9.8,8.1,9.3,4.3,19.2,15.4,20.8,20.9,31.6,30.1,32.8,35.6,271,258,279,286,37.4,35.6,38.5,39.4,1979,1677,1740,1813,2.7
