,ColNames,Correlation
1140,viol11read513,-0.6085804605778273
3000,domvio10hsaeng13,-0.6073079176169839
4327,narc12math512,-0.6070559507966895
3009,domvio10hsaalg11,-0.6062086420028888
3988,caslt12read313,-0.6054753121059753
3151,domvio11math512,-0.6054639674965887
4166,narc11math811,-0.6054367778632296
4149,narc11math310,-0.6054049615494781
2980,domvio10read313,-0.6047793288128577
3360,shoot11empl13,-0.603228849692785
5007,gunhom12math812,-0.6018846673785417
3343,domvio12hsagov13,-0.6018204244222761
4334,narc12math811,-0.6012756595459936
3198,domvio12somecol13,-0.6011503878858901
5178,gunhom13read811,-0.6009653039049557
1632,viol14math313,-0.6008398042791889
5020,gunhom12hsabio13,-0.5999870281572468
1321,viol12hsabio10,-0.599263250333032
5012,gunhom12read813,-0.599015653292503
3327,domvio12math812,-0.5981253168030989
4200,narc12empl13,-0.5981210123801239
4032,narc11empl13,-0.5978370580030155
5526,arrest14hsagov11,-0.5977911480606283
1468,viol13read313,-0.597447658929441
971,viol10read512,-0.5971229793013769
1643,viol14read512,-0.5963796705087148
3334,domvio12hsaeng11,-0.5947936424864003
4339,narc12read812,-0.5946369777477041
1629,viol14math310,-0.5934169123917779
4171,narc11read812,-0.5933069885630645
3141,domvio11math310,-0.5931156540944901
3143,domvio11math312,-0.5908543714893789
3326,domvio12math811,-0.5905802795615145
3320,domvio12math513,-0.5899565198837449
4330,narc12read511,-0.5899039000922832
3159,domvio11math812,-0.5897524300523039
3496,shoot11math813,-0.5873781029046504
1320,viol12hsaeng13,-0.5869301038913782
1310,viol12math811,-0.5855830356042575
957,viol10math310,-0.5854632712035385
3152,domvio11math513,-0.5839676616047318
3338,domvio12hsabio11,-0.5835362536828458
5011,gunhom12read812,-0.5828488490919049
4167,narc11math812,-0.5807720885075525
3488,shoot11math513,-0.5806514982550646
5503,arrest14math512,-0.5792714097574997
5495,arrest14math312,-0.57915296277861
298,crime11read511,-0.578048196000976
4335,narc12math812,-0.5777074304074453
2992,domvio10math813,-0.5773618886580404
3144,domvio11math313,-0.5770311606596539
3004,domvio10hsabio13,-0.5763161472670207
967,viol10math512,-0.5756196119690503
3335,domvio12hsaeng12,-0.5753957683637022
2991,domvio10math812,-0.5744260467848696
3494,shoot11math811,-0.5739840887037768
1139,viol11read512,-0.5730604530459185
3981,caslt12math310,-0.5725274898852625
3325,domvio12math810,-0.5715536332093061
1125,viol11math310,-0.5710449935374043
466,crime12read511,-0.5705823355839598
2994,domvio10read811,-0.5700904605201728
4004,caslt12read813,-0.5698515470403069
3828,caslt11read513,-0.5695362844399516
3487,shoot11math512,-0.5688188889543857
3495,shoot11math812,-0.5671905202446816
2820,juvdrug11read513,-0.566209739522806
1461,viol13math310,-0.5661000097274105
5520,arrest14hsaeng13,-0.5659757296726788
4821,gunhom11math310,-0.5653786041259611
1303,viol12math512,-0.5651982575916007
1135,viol11math512,-0.5651875753418968
4168,narc11math813,-0.5647558135315797
4159,narc11math512,-0.5645413146834515
1464,viol13math313,-0.5644141573739607
4336,narc12math813,-0.5643337693511202
2819,juvdrug11read512,-0.564045966044658
1311,viol12math812,-0.5632158228723488
1304,viol12math513,-0.5632055996851192
3344,domvio12hsaalg10,-0.5622814194835838
1633,viol14read310,-0.5617583279228568
3499,shoot11read812,-0.5610604859350546
4839,gunhom11math812,-0.5607588618574401
4328,narc12math513,-0.5602265152359064
5497,arrest14read310,-0.5584226300209967
1297,viol12read310,-0.5582940798464302
1646,viol14math811,-0.5581312246111363
4824,gunhom11math313,-0.5580475183217922
5010,gunhom12read811,-0.5579979539086114
3006,domvio10hsagov11,-0.5575879709537812
